"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",5215851603872.75,663217053542.234,5.15312409570718e-84,1.32703205136991e-25,3.02487463962371e-05,0.102368949617156,0.569868064803077,0.702732824377247,0.112556323204407,17845836608636.1,2,3,8.5974754691124
"2",0.0452789423971777,3.36705670184854,0.200778046396368,0.00285288526378363,0.0554468976842405,0.670061397252359,0.372929067319873,0.427023215308384,0.000128423842156134,42401247.2477027,3,229,1.84368833449152
"3",2.2368536898099e-120,8.83210582366672e+31,1.60728522098001e-70,2.3904964209652e-84,6.70343332561601e-316,0,2.22026426737931e-12,0.109956102010728,0.624698415194034,59182095602.2589,1,1,1.17067064841588
"4",5.52890663341923e-89,149997030539227,1.00580785753001e+50,4.32060597948978e-22,7.47845069941303e+23,0,3.40853804436539e-99,1.9825893128836e-10,0.23260811302106,59182095602.2589,1,1,56.6325399875641
"5",2.09484255246616e-284,0,0,2.36415773809436e-29,4.06439199956571e-15,0.0282593284523992,0.469750487346373,0.615741063723125,0.0325765856541693,59154645650.8003,1,1,22.1637768745422
"6",6.48804197243173e-129,7.10509031075774e-102,2.60342395622197e-249,9.24065309730076e-159,6.27069279095134e-06,1.23995971728319e-07,0.115170258048509,0.193005374654977,0.965389275983826,59154645651.135,1,1,23.8910758495331
"7",8.17511703285776e-42,122499864054965120,0,5.65287718407154e-211,6.71400111913955e-124,4.51426670583188e-35,0.110979770366023,0.321606719891824,0.341984580297988,59182095602.2589,1,1,55.1250410079956
"8",2.77580597809961e-226,9.60439498680484e-191,0,6.34204891516264e-305,0,7.84744625566077e-125,0.0491015610045675,0.475297837403396,0.432559397774137,59154645651.1364,1,1,21.6161980628967
"9",1.13022453489962e-261,1.63056308430148e+62,0,1.40345217894904e-243,5.57975818847089e-299,0,0,0,0.00591845741706077,59182095602.2589,1,1,1.00624145269394
"10",0,5.74988655930218e-291,0,0,2.36165452219423e-183,2.70663312814972e-07,0.500919267830919,0.00512315817054854,0.507745394392573,59154645651.1267,1,1,23.1310629844666
"11",1.30577882414855,2.01591804564484,0.01071636267003,0.0159869128278064,0.00227057441048358,1.29079143285967,0.251579831460259,0.457409040813819,0.0190518189300564,541534456.162797,3,285,2.16045086085796
"12",0.403832639452439,2.64429436251242,0.204475827637089,0.00141837427140365,0.000557026622078423,0.724489600808385,0.420480904656171,0.358052720309876,0.202294526474098,17251888.4827918,2,574,3.43209489358796
"13",0,1.05393020049697e-68,4.48087539966681e-208,0,0,0,0.000699595077716239,0.572148152399635,0.23882695832735,59154645651.1368,1,1,21.898334980011
"14",0,4.44496021806917e-101,0,2.04249861569088e-257,4.4694295690382e-260,0,1.90812986925428e-74,0.0613938958431611,0.288016332200212,59154645651.1371,1,1,29.0922329425812
"15",7.61841215101217e-276,1.26002062150018e-95,0,9.74727936682065e-51,3.2792221622454e-09,0.116342338552953,0.810295486545978,0.350404346325202,0.913223743618191,59154645557.216,1,1,20.2885251045227
"16",0,9.01862167041571e+171,0,0,0,1.57364366213927e-22,0.551652411819231,0.78198356045451,0.0343024236044136,59182095602.2589,1,1,52.5097579956055
"17",0.364938628796311,2.71301901779409,0.201809079566755,0.0450809464334608,0.00294570208856938,0.662745176584077,0.427565524836304,0.356926812782639,0.203266720315279,17688989.4566361,3,326,1.87076138834159
"18",7.23546263046702e-25,2.54470919559018e+51,3.08528533891194e-206,5.24245693700798e-276,4.22994776198942e-234,0,1.93539885055672e-30,0.183305007872239,0.281735062786375,59182095602.2589,1,1,52.9716110229492
"19",2.70670913245083,0.608877281835405,0.294483835419671,0.00507342406037589,0.0109986762382528,0.400760240019069,0.674207307914744,0.485627861021731,0.147130665071433,567941556.459561,2,115,29.7952384988467
"20",3.49036563600856e-110,9.25134489322566e+31,0,0,1.22907437089165e-07,0.0156409219154206,0.119248259891694,0.162498758704813,0.789449303979253,59182095602.2589,1,1,44.3983688354492
