policy,optim_res
No Intervention,1.270068
School Closure,2.312489
Intense Lockdown,0.1759046
Relax Intervention 1,0.003455108
Relax Intervention 2,0.1689526
Relax Intervention 3,0.4848977
Lockdown Level 2,0.4663361
Lockdown Level 3,0.3979857
Lockdown Level 5,0.1183103
Pre-Christmas Level 3,1.041377
Holiday period,0.8288638
After-Christmas Level 5,0.01479018
